SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,,change
20MICRONS, EQ, 01-Oct-2021,61.2,60.9,62.75,60,61.1,61,61.14,107412,65.68,1940,51026,47.5,,-0.2
21STCENMGM, EQ, 01-Oct-2021,48.25,49.2,49.2,49.2,49.2,49.2,49.2,9960,4.9,31,9960,100,,0.95
3MINDIA, EQ, 01-Oct-2021,24832.5,24800,24900,24500,24896.4,24863.2,24708.79,1336,330.11,932,696,52.1,,30.7
3PLAND, BE, 01-Oct-2021,13.7,14,14,13.2,13.9,13.9,13.87,5015,0.7,37, -, -,,0.2
5PAISA, EQ, 01-Oct-2021,458.35,462,479,455.65,472,476.05,470.12,37331,175.5,1270,24325,65.16,,17.7
63MOONS, EQ, 01-Oct-2021,92.8,92.5,93,91.85,92,92.15,92.36,36669,33.87,771,24765,67.54,,-0.65
664GS2035, GS, 01-Oct-2021,102.25,101.24,101.24,101.24,101.24,101.24,101.24,1510,1.53,3,1510,100,,-1.01
667GS2035, GS, 01-Oct-2021,100,99,99,97,97,97,98.07,374,0.37,6,374,100,,-3
667GS2050, GS, 01-Oct-2021,97.55,98.5,98.5,97.5,98.2,98.1,97.86,2074,2.03,15,1873,90.31,,0.55
676GS2061, GS, 01-Oct-2021,99.1,99.25,99.5,98.5,99.5,98.83,99.25,601,0.6,6,601,100,,-0.27
68GS2060, GS, 01-Oct-2021,103.85,100,100,100,100,100,100,1,0,1,1,100,,-3.85
716GS2050, GS, 01-Oct-2021,110,112.85,112.85,112.85,112.85,112.85,112.85,4500,5.08,1,4500,100,,2.85
719GS2060, GS, 01-Oct-2021,107.27,112.63,112.63,112.63,112.63,112.63,112.63,1,0,1,1,100,,5.36
A2ZINFRA, EQ, 01-Oct-2021,4.2,4.2,4.25,4.15,4.25,4.25,4.2,245528,10.31,234,177564,72.32,,0.05
AAKASH, EQ, 01-Oct-2021,223.9,230.8,231,216.3,222,221.6,226.97,83940,190.52,785,44995,53.6,,-2.3
AAREYDRUGS, EQ, 01-Oct-2021,36.2,36.6,37.35,36.05,36.65,36.3,36.5,29822,10.89,319,20898,70.08,,0.1
AARON, EQ, 01-Oct-2021,98.3,103.2,103.2,98.5,100.7,99.3,100.92,3026,3.05,118,1932,63.85,,1
AARTIDRUGS, EQ, 01-Oct-2021,607.3,610,612.05,603.8,605,604.5,606.04,128684,779.88,6729,75857,58.95,,-2.8
AARTIIND, EQ, 01-Oct-2021,929.85,925,949.8,917.45,941,942,937.45,643149,6029.2,21678,231568,36.01,,12.15
AARTISURF, EQ, 01-Oct-2021,1443.75,1464,1475.3,1433,1450.1,1453.9,1454.06,14555,211.64,2355,6767,46.49,,10.15
AARVEEDEN, EQ, 01-Oct-2021,23.3,23.7,23.9,22.5,23,22.8,23.09,51705,11.94,395,34861,67.42,,-0.5
AARVI, EQ, 01-Oct-2021,59.8,61,61,59.2,60.35,60.3,60.13,12984,7.81,175,6917,53.27,,0.5
AAVAS, EQ, 01-Oct-2021,2560,2545,2615,2543.05,2544,2557.25,2585.38,44383,1147.47,8156,17839,40.19,,-2.75
ABAN, EQ, 01-Oct-2021,42.6,42.3,43.3,42.2,42.3,42.35,42.63,91810,39.14,949,55467,60.41,,-0.25
ABB, EQ, 01-Oct-2021,1870.6,1870,1873.85,1819.3,1868,1858.9,1841.44,67958,1251.41,12036,24305,35.76,,-11.7
ABBOTINDIA, EQ, 01-Oct-2021,20517.8,20499.5,22569.55,20462,22569.55,22031.25,21482.87,93068,19993.68,32996,21870,23.5,,1513.45
ABCAPITAL, EQ, 01-Oct-2021,112.75,112.2,112.65,110.9,112.45,111.95,111.95,1447898,1620.94,11623,596171,41.17,,-0.8
ABFRL, EQ, 01-Oct-2021,246.35,242.55,251,241.15,243.3,244.25,245.47,5795738,14227.04,57743,987309,17.04,,-2.1
ABMINTLLTD, EQ, 01-Oct-2021,119.5,125.45,125.45,125.45,125.45,125.45,125.45,3825,4.8,68,3799,99.32,,5.95
ABSLBANETF, EQ, 01-Oct-2021,372.69,373,375,368.79,371.16,371.07,371.12,246,0.91,38,146,59.35,,-1.62
ABSLNN50ET, EQ, 01-Oct-2021,433.02,430,431.75,430,431.75,431.75,431.43,322,1.39,23,322,100,,-1.27
ACC, EQ, 01-Oct-2021,2254.5,2237,2258,2211.35,2237.7,2237.5,2238.74,319800,7159.49,27837,73474,22.97,,-17
ACCELYA, EQ, 01-Oct-2021,1265.05,1257,1285.15,1255.9,1264.9,1263.4,1269.66,26249,333.27,3148,14668,55.88,,-1.65
ACCURACY, EQ, 01-Oct-2021,132.75,132.1,135,128.05,133,131.05,131.94,70257,92.7,3593,30593,43.54,,-1.7
ACE, EQ, 01-Oct-2021,258.15,258.15,262.45,253.4,258.1,258.95,258.38,677886,1751.53,17771,159314,23.5,,0.8
ACRYSIL, EQ, 01-Oct-2021,794.4,800,814.8,772,786,787.3,792.6,146181,1158.63,10558,74802,51.17,,-7.1
ADANIENT, EQ, 01-Oct-2021,1468.1,1465,1468.75,1422.65,1455,1458.7,1448.65,2311858,33490.82,52821,201562,8.72,,-9.4
ADANIGREEN, EQ, 01-Oct-2021,1146.6,1147.95,1189.9,1146.6,1147.5,1151.05,1155.46,447943,5175.8,29079,302224,67.47,,4.45
ADANIPORTS, EQ, 01-Oct-2021,737.9,735.85,738.25,722,734.35,734.95,730.52,4008108,29280.04,57693,533570,13.31,,-2.95
ADANIPOWER, EQ, 01-Oct-2021,97.1,96,99,95,97.3,96.95,97.35,3799113,3698.38,26867,1654326,43.55,,-0.15
ADANITRANS, BE, 01-Oct-2021,1558.5,1558.5,1590.1,1525,1566.75,1577.85,1565.11,115660,1810.2,16983, -, -,,19.35
ADFFOODS, EQ, 01-Oct-2021,882.65,873,900,865.7,880,880.8,877.48,10366,90.96,1052,7206,69.52,,-1.85
ADL, BE, 01-Oct-2021,42.4,40.55,43.9,40.55,43.9,42.45,42.08,1330,0.56,14, -, -,,0.05
ADORWELD, EQ, 01-Oct-2021,680.6,679.2,684.8,666.05,683,678.7,678.21,5891,39.95,473,3622,61.48,,-1.9
ADROITINFO, BE, 01-Oct-2021,9.9,9.6,10.25,9.5,9.9,9.6,9.83,15269,1.5,69, -, -,,-0.3
ADSL, EQ, 01-Oct-2021,73.3,73,76.8,71.75,75.2,75.75,74.97,529439,396.93,4977,296449,55.99,,2.45
ADVANIHOTR, EQ, 01-Oct-2021,82.45,83.75,86,82.25,83.2,84.3,83.87,46968,39.39,652,31812,67.73,,1.85
ADVENZYMES, EQ, 01-Oct-2021,388.55,387.5,391.85,378.25,385.5,384.05,384.43,306252,1177.32,11601,117167,38.26,,-4.5
AEGISCHEM, EQ, 01-Oct-2021,227.6,228.25,232.45,227.6,229.25,228.9,229.69,462817,1063.02,11218,209779,45.33,,1.3
AFFLE, EQ, 01-Oct-2021,5344.45,5317.1,5430,5291.05,5428.05,5414.4,5379.11,70370,3785.28,13694,42960,61.05,,69.95
AGARIND, EQ, 01-Oct-2021,350.85,349.8,350.85,336,336.1,339.05,340.87,67062,228.59,1389,46723,69.67,,-11.8
AGCNET, BE, 01-Oct-2021,1006.85,1015,1034.2,983.1,1024.95,1021,1024.88,2747,28.15,89, -, -,,14.15
AGRITECH, BE, 01-Oct-2021,74.1,74.1,77,72,74,74.5,74.58,5445,4.06,88, -, -,,0.4
AGROPHOS, EQ, 01-Oct-2021,15.5,15.7,15.9,15.25,15.8,15.65,15.58,35793,5.58,202,27115,75.76,,0.15
AHLADA, EQ, 01-Oct-2021,141.25,148,148.3,147.4,148.3,148.3,148.26,25734,38.15,235,21313,82.82,,7.05
